Region,Pop,Latitude,Longitude,LTRS,WNT,EN,EF,ZMP,AML,ATPS,MP20
NBP,88,29.32541,-114.29353,1:1,,2:4,1:2,,,9:9,7:7
NBP,88,29.32541,-114.29353,1:1,1:3,1:1,1:1,1:1,8:9,9:9,7:7
NBP,88,29.32541,-114.29353,1:1,1:3,1:1,1:1,1:1,8:9,9:9,5:7
NBP,88,29.32541,-114.29353,1:1,1:1,1:2,1:1,1:1,8:9,9:9,7:7
NBP,88,29.32541,-114.29353,1:1,1:3,1:2,1:1,1:1,8:9,9:9,5:5
NBP,88,29.32541,-114.29353,1:1,1:1,1:2,1:1,1:1,9:9,9:9,7:7
NBP,88,29.32541,-114.29353,1:1,1:1,1:2,1:1,1:1,7:9,9:9,5:7
NBP,88,29.32541,-114.29353,1:1,1:1,1:2,1:1,1:1,7:7,9:9,5:7
NBP,88,29.32541,-114.29353,1:1,1:3,1:2,1:1,1:1,9:10,9:9,7:7
NBP,88,29.32541,-114.29353,1:1,1:1,1:1,1:1,1:2,7:8,9:9,7:7
NBP,9,29.01457,-113.94486,1:1,1:1,1:2,1:1,1:1,6:9,9:9,7:7
NBP,9,29.01457,-113.94486,1:1,1:1,1:2,1:1,1:1,9:9,9:9,7:7
NBP,9,29.01457,-113.94486,1:1,1:1,1:2,1:1,1:1,9:9,9:9,7:7
NBP,9,29.01457,-113.94486,1:1,1:1,1:2,1:1,1:1,6:6,9:9,7:7
NBP,9,29.01457,-113.94486,1:1,1:3,1:2,1:1,1:1,9:9,7:9,5:7
NBP,9,29.01457,-113.94486,1:1,1:1,1:1,1:1,1:1,9:9,9:9,7:7
NBP,9,29.01457,-113.94486,1:1,1:3,1:1,1:1,1:1,9:10,5:9,7:7
NBP,9,29.01457,-113.94486,1:1,1:1,1:2,1:1,1:1,7:9,9:9,7:7
NBP,9,29.01457,-113.94486,1:1,1:3,1:1,1:1,1:1,9:9,9:9,7:7
NBP,84,28.96651,-113.66787,1:1,1:3,1:1,1:1,1:1,9:9,9:9,5:7
NBP,84,28.96651,-113.66787,1:1,1:1,1:1,1:1,1:2,8:9,9:9,5:15
NBP,84,28.96651,-113.66787,1:1,1:1,1:2,1:1,1:1,7:9,7:9,7:7
NBP,84,28.96651,-113.66787,1:1,,1:1,1:2,,,5:9,7:7
NBP,84,28.96651,-113.66787,1:1,1:1,1:5,1:1,1:1,7:7,9:9,7:7
NBP,84,28.96651,-113.66787,1:1,1:1,1:1,1:1,1:1,9:9,9:9,7:7
NBP,84,28.96651,-113.66787,1:1,1:1,1:2,1:1,1:1,7:9,9:9,5:5
NBP,84,28.96651,-113.66787,1:1,1:1,1:2,1:1,1:1,9:9,9:9,5:7
NBP,84,28.96651,-113.66787,1:1,1:3,1:5,1:1,1:1,9:9,7:9,7:7
NBP,175,28.72796,-113.48973,1:1,1:1,1:2,1:1,1:2,8:9,9:9,5:7
NBP,175,28.72796,-113.48973,1:1,1:1,1:2,1:1,1:1,9:9,9:9,5:7
NBP,175,28.72796,-113.48973,1:1,1:1,1:1,1:1,2:2,9:9,9:9,5:5
NBP,175,28.72796,-113.48973,1:1,1:3,1:1,1:1,1:2,6:9,9:9,7:7
NBP,175,28.72796,-113.48973,1:1,1:1,1:1,1:1,2:2,8:9,9:9,5:7
NBP,175,28.72796,-113.48973,1:1,1:1,1:1,1:1,2:2,8:8,9:9,7:7
NBP,175,28.72796,-113.48973,1:1,3:3,1:2,1:1,2:2,9:10,9:9,5:7
NBP,177,28.66056,-113.99141,1:1,1:3,1:1,1:1,2:2,7:7,9:9,5:7
NBP,177,28.66056,-113.99141,1:1,1:1,1:1,1:1,2:2,6:9,9:9,5:7
NBP,177,28.66056,-113.99141,1:1,1:3,1:1,1:1,2:2,7:9,9:9,7:7
NBP,177,28.66056,-113.99141,1:1,1:3,1:1,1:1,1:2,6:8,9:9,7:7
NBP,177,28.66056,-113.99141,1:1,1:1,1:1,1:1,2:2,8:9,9:9,7:7
NBP,177,28.66056,-113.99141,1:1,1:3,1:1,1:1,1:1,9:10,9:9,7:7
NBP,177,28.66056,-113.99141,1:1,1:3,1:2,1:1,1:1,9:9,9:9,7:7
NBP,177,28.66056,-113.99141,1:1,1:1,1:2,1:1,1:2,6:9,9:9,7:7
NBP,177,28.66056,-113.99141,1:1,1:1,1:2,1:1,1:1,9:9,9:9,5:5
NBP,177,28.66056,-113.99141,1:1,1:1,1:2,1:1,1:1,7:9,9:9,5:8
NBP,173,28.40846,-112.86985,1:1,3:3,1:1,1:1,2:2,8:8,7:10,7:7
NBP,173,28.40846,-112.86985,1:1,3:3,1:1,1:1,2:2,9:9,9:9,7:7
NBP,173,28.40846,-112.86985,1:1,3:3,1:1,1:1,2:2,7:8,9:9,5:7
NBP,173,28.40846,-112.86985,1:2,3:3,1:1,1:1,1:2,7:9,9:9,5:5
NBP,173,28.40846,-112.86985,1:1,3:3,1:1,1:1,1:1,7:8,9:9,6:7
NBP,173,28.40846,-112.86985,1:1,3:3,1:1,1:1,2:2,7:7,7:9,5:7
NBP,173,28.40846,-112.86985,1:2,3:3,1:3,1:1,1:1,7:7,7:9,5:7
NBP,173,28.40846,-112.86985,1:1,1:3,1:1,1:1,2:2,8:8,9:9,5:7
NBP,173,28.40846,-112.86985,1:1,3:3,1:3,1:1,1:2,8:9,9:9,4:7
NBP,173,28.40846,-112.86985,1:1,1:3,1:1,1:1,2:2,8:8,9:9,6:7
NBP,171,28.22308,-113.18263,1:1,3:3,1:1,1:1,,8:9,9:9,5:6
NBP,171,28.22308,-113.18263,1:1,1:1,1:2,1:1,2:2,7:9,7:9,5:5
NBP,171,28.22308,-113.18263,1:1,1:3,1:1,1:1,2:2,8:8,9:9,5:7
NBP,171,28.22308,-113.18263,1:1,1:1,1:1,1:1,2:2,7:7,9:9,5:5
NBP,171,28.22308,-113.18263,1:1,1:3,1:1,1:1,2:2,9:9,9:9,7:7
NBP,171,28.22308,-113.18263,1:1,1:3,3:3,1:1,2:2,8:8,9:9,5:5
NBP,171,28.22308,-113.18263,1:2,3:3,1:1,1:1,1:2,7:8,9:9,7:7
NBP,171,28.22308,-113.18263,1:2,1:3,1:1,1:1,2:2,8:8,7:9,7:7
NBP,171,28.22308,-113.18263,1:1,1:3,1:1,1:1,1:2,8:9,9:9,7:7
NBP,171,28.22308,-113.18263,1:1,1:3,1:1,1:1,2:2,8:8,9:9,5:7
NBP,89,28.03661,-113.39991,1:1,3:3,1:3,1:1,2:2,7:9,9:10,5:7
NBP,89,28.03661,-113.39991,1:1,3:3,1:1,1:1,2:2,9:9,9:10,5:7
NBP,89,28.03661,-113.39991,1:1,3:3,3:3,1:1,2:2,8:9,7:9,7:8
NBP,89,28.03661,-113.39991,1:2,3:3,1:1,1:1,,7:10,9:9,7:7
NBP,89,28.03661,-113.39991,1:1,3:3,3:5,1:1,2:2,7:8,7:9,5:7
NBP,89,28.03661,-113.39991,1:1,3:3,1:1,1:1,2:2,8:9,7:7,5:7
NBP,89,28.03661,-113.39991,1:2,3:3,1:1,1:1,2:2,7:9,7:9,5:7
NBP,89,28.03661,-113.39991,1:1,3:3,1:1,1:1,2:2,7:9,9:9,5:7
NBP,89,28.03661,-113.39991,1:1,3:3,1:1,1:1,2:2,7:7,7:9,5:7
NBP,89,28.03661,-113.39991,1:1,1:3,1:1,1:1,2:2,7:7,9:9,7:7
NBP,159,27.52944,-113.31609,1:1,1:3,1:3,1:1,2:2,8:9,9:9,5:7
NBP,159,27.52944,-113.31609,1:1,1:3,2:5,1:1,2:2,7:8,9:9,4:7
NBP,159,27.52944,-113.31609,1:1,1:3,1:1,1:1,2:2,7:8,7:9,5:7
NBP,159,27.52944,-113.31609,1:1,1:3,1:1,1:1,2:2,8:11,7:9,5:7
NBP,159,27.52944,-113.31609,1:2,1:3,1:1,1:1,2:2,8:8,9:9,4:7
NBP,159,27.52944,-113.31609,1:2,3:3,1:1,1:1,2:2,7:8,9:9,5:7
NBP,159,27.52944,-113.31609,1:1,3:3,1:1,1:2,2:2,8:9,9:9,5:7
NBP,159,27.52944,-113.31609,1:1,3:3,1:1,1:1,2:2,8:9,9:9,5:7
NBP,159,27.52944,-113.31609,1:1,3:3,3:3,1:1,2:2,8:8,7:9,5:7
NBP,SFr,27.3632,-112.964,1:1,3:3,1:1,1:2,2:2,7:7,5:5,5:7
NBP,SFr,27.3632,-112.964,1:1,3:3,1:1,2:2,2:2,6:8,5:5,5:7
NBP,SFr,27.3632,-112.964,1:2,3:3,1:1,1:2,2:2,8:9,5:5,7:7
NBP,SFr,27.3632,-112.964,1:1,3:3,1:1,1:2,1:2,7:8,5:5,6:7
NBP,SFr,27.3632,-112.964,1:2,3:3,1:1,1:2,2:2,7:7,5:5,5:5
NBP,SFr,27.3632,-112.964,2:2,3:3,1:1,2:2,2:2,6:7,5:5,7:7
NBP,SFr,27.3632,-112.964,1:1,1:3,1:1,1:2,2:2,9:9,5:5,5:7
NBP,SFr,27.3632,-112.964,1:1,1:3,1:1,1:2,2:2,8:8,5:5,7:8
NBP,SFr,27.3632,-112.964,1:1,3:3,1:1,2:2,2:2,7:7,5:5,7:7
CBP,160,27.40498,-112.52959,1:1,3:3,1:1,2:2,1:1,8:8,5:5,6:7
CBP,160,27.40498,-112.52959,1:1,3:3,1:1,2:2,2:2,7:9,5:7,5:6
CBP,160,27.40498,-112.52959,1:2,3:3,1:1,2:2,2:2,9:9,5:5,5:5
CBP,160,27.40498,-112.52959,1:1,3:3,1:1,1:1,2:2,9:9,5:5,5:7
CBP,160,27.40498,-112.52959,1:1,1:3,1:1,2:2,2:2,2:9,5:5,4:8
CBP,160,27.40498,-112.52959,1:2,3:3,1:1,2:2,2:2,7:7,5:5,5:5
CBP,160,27.40498,-112.52959,1:1,1:4,1:1,1:1,2:2,8:8,5:5,5:6
CBP,160,27.40498,-112.52959,2:2,3:3,1:1,2:2,1:2,7:8,5:5,7:8
CBP,160,27.40498,-112.52959,1:1,1:1,1:1,1:1,2:2,6:7,5:5,5:5
CBP,160,27.40498,-112.52959,1:1,3:3,1:1,1:2,1:1,7:8,5:5,7:7
CBP,162,27.2028,-112.408,1:1,1:1,1:1,1:1,,7:7,5:5,6:6
CBP,162,27.2028,-112.408,1:1,1:3,1:1,1:1,2:2,7:13,5:5,5:5
CBP,162,27.2028,-112.408,1:1,3:3,1:1,1:2,2:2,8:8,5:5,7:7
CBP,162,27.2028,-112.408,1:2,1:1,1:1,2:2,,7:8,5:5,6:6
CBP,162,27.2028,-112.408,1:1,3:3,1:3,2:2,2:2,7:8,5:5,5:7
CBP,162,27.2028,-112.408,1:1,1:3,1:1,1:1,2:2,8:8,5:5,6:8
CBP,162,27.2028,-112.408,1:1,1:3,1:1,1:2,,7:7,5:7,5:6
CBP,162,27.2028,-112.408,1:1,3:3,1:1,2:2,1:2,8:8,5:5,5:7
CBP,162,27.2028,-112.408,1:1,1:1,1:1,2:2,2:2,7:7,5:5,5:7
CBP,162,27.2028,-112.408,1:1,1:3,1:1,1:1,2:2,5:7,5:5,5:6
CBP,12,27.18232,-112.66552,1:1,1:3,1:1,1:1,1:2,8:10,5:5,5:5
CBP,12,27.18232,-112.66552,1:2,1:3,1:1,2:2,2:2,7:7,5:5,5:7
CBP,12,27.18232,-112.66552,1:1,1:3,1:1,2:2,2:2,7:8,5:5,5:8
CBP,12,27.18232,-112.66552,1:1,3:3,1:1,2:2,1:2,8:8,5:5,4:6
CBP,12,27.18232,-112.66552,1:2,3:3,1:1,2:2,1:2,8:8,5:5,5:7
CBP,12,27.18232,-112.66552,1:1,1:3,1:1,2:2,2:2,8:8,5:5,7:7
CBP,12,27.18232,-112.66552,1:2,1:3,1:1,1:1,2:2,6:7,5:5,5:5
CBP,12,27.18232,-112.66552,1:1,3:3,1:1,1:1,1:2,1:7,5:5,7:8
CBP,12,27.18232,-112.66552,1:2,1:3,1:1,1:1,2:2,7:7,5:5,5:6
CBP,12,27.18232,-112.66552,1:1,3:3,1:1,1:2,2:2,8:8,5:5,5:5
CBP,161,27.0367,-112.986,1:1,3:3,1:1,1:2,2:2,7:9,5:5,5:7
CBP,161,27.0367,-112.986,1:1,1:3,1:1,1:2,2:2,8:9,5:5,4:6
CBP,161,27.0367,-112.986,1:1,3:3,1:1,1:2,2:2,7:8,5:5,6:7
CBP,161,27.0367,-112.986,1:1,3:3,1:1,1:2,,7:8,5:5,5:6
CBP,161,27.0367,-112.986,1:1,1:3,1:1,2:2,2:2,8:8,5:5,5:8
CBP,161,27.0367,-112.986,1:1,1:3,1:1,1:2,2:2,8:8,5:5,5:6
CBP,161,27.0367,-112.986,1:1,1:3,1:1,1:2,2:2,7:9,5:5,6:8
CBP,161,27.0367,-112.986,1:2,1:3,1:1,2:2,2:2,7:8,5:5,7:7
CBP,161,27.0367,-112.986,1:1,3:4,1:1,2:2,2:2,8:10,5:5,5:8
CBP,161,27.0367,-112.986,1:1,1:1,1:1,1:2,2:2,7:8,5:5,5:7
CBP,93,26.94589,-112.04613,1:2,3:3,1:1,1:1,2:2,7:7,5:5,7:8
CBP,93,26.94589,-112.04613,1:2,3:3,1:1,1:1,1:2,6:9,5:5,5:6
CBP,93,26.94589,-112.04613,1:1,3:3,1:1,1:2,2:2,7:9,5:5,5:7
CBP,93,26.94589,-112.04613,1:2,3:3,1:1,2:2,2:2,7:8,5:5,6:6
CBP,93,26.94589,-112.04613,1:1,1:3,1:1,1:2,2:2,8:8,5:5,6:7
CBP,93,26.94589,-112.04613,1:2,3:3,1:1,1:2,2:2,7:8,5:5,5:7
CBP,93,26.94589,-112.04613,1:1,3:3,1:1,1:2,2:2,8:8,5:5,5:5
CBP,93,26.94589,-112.04613,1:1,1:1,1:1,2:2,1:2,8:8,5:5,5:5
CBP,93,26.94589,-112.04613,1:2,3:3,1:1,1:1,,8:9,5:5,7:7
CBP,93,26.94589,-112.04613,1:2,1:1,1:1,2:2,,8:8,5:5,5:5
CBP,165,26.24905,-112.40948,1:1,3:3,1:1,1:2,2:2,8:8,5:5,6:6
CBP,165,26.24905,-112.40948,1:2,1:3,1:1,1:1,1:2,7:10,5:5,7:7
CBP,165,26.24905,-112.40948,1:1,1:1,1:4,2:2,2:2,7:8,5:5,5:7
CBP,165,26.24905,-112.40948,1:1,1:4,1:4,2:2,1:1,7:8,5:5,6:7
CBP,165,26.24905,-112.40948,1:2,1:1,1:1,1:1,2:2,7:8,5:5,5:7
CBP,165,26.24905,-112.40948,1:2,1:1,1:1,2:2,1:2,7:7,5:5,5:6
CBP,165,26.24905,-112.40948,2:2,1:4,1:1,2:2,2:2,8:8,5:5,5:8
CBP,165,26.24905,-112.40948,1:2,3:4,1:1,1:2,2:2,7:10,5:5,5:5
CBP,165,26.24905,-112.40948,1:1,1:3,1:1,2:2,1:2,8:8,5:5,5:6
CBP,165,26.24905,-112.40948,1:1,3:3,1:1,2:2,2:2,7:9,5:5,5:6
CBP,169,26.20876,-111.37833,1:1,1:4,1:1,2:2,2:2,7:7,5:5,5:5
CBP,169,26.20876,-111.37833,1:2,3:3,1:1,1:2,1:2,7:7,5:5,5:5
CBP,169,26.20876,-111.37833,1:2,3:3,1:1,2:2,2:2,7:8,5:5,5:7
CBP,169,26.20876,-111.37833,1:1,3:4,1:1,2:2,1:2,7:8,5:5,5:6
CBP,169,26.20876,-111.37833,1:1,1:3,1:1,1:2,2:2,7:9,5:5,5:5
CBP,169,26.20876,-111.37833,1:2,3:4,1:1,1:1,1:2,8:8,5:5,5:7
CBP,169,26.20876,-111.37833,1:1,3:3,1:1,1:2,1:2,8:9,5:5,5:7
CBP,169,26.20876,-111.37833,1:2,1:3,1:1,1:2,1:2,7:7,5:5,7:7
CBP,169,26.20876,-111.37833,1:2,1:3,1:1,1:2,2:2,7:8,5:5,5:8
CBP,169,26.20876,-111.37833,2:2,1:1,1:1,2:2,2:2,8:9,5:5,5:7
CBP,58,26.0155,-111.35475,2:2,3:3,1:1,2:2,2:2,7:7,5:5,5:7
CBP,58,26.0155,-111.35475,2:2,1:3,1:1,2:2,1:2,9:9,5:5,5:7
CBP,58,26.0155,-111.35475,1:2,1:3,1:1,2:2,1:2,8:8,5:5,5:5
CBP,58,26.0155,-111.35475,1:2,3:3,1:1,2:2,2:2,7:7,5:5,5:7
CBP,58,26.0155,-111.35475,1:2,3:3,1:1,2:2,1:2,8:8,5:5,5:7
CBP,58,26.0155,-111.35475,2:2,1:1,1:1,2:2,1:2,8:9,5:5,5:5
CBP,58,26.0155,-111.35475,2:2,3:3,1:1,2:2,2:2,7:7,5:5,5:8
CBP,58,26.0155,-111.35475,1:2,3:3,1:1,2:2,2:2,7:7,5:5,5:5
CBP,58,26.0155,-111.35475,2:2,3:3,1:1,2:2,2:2,7:8,5:5,5:7
CBP,166,25.91409,-112.08062,2:2,1:3,1:1,1:1,2:2,7:9,5:5,5:5
CBP,166,25.91409,-112.08062,1:1,2:2,1:2,1:1,2:2,3:4,3:3,18:18
CBP,166,25.91409,-112.08062,1:1,3:3,1:1,2:2,2:2,5:9,5:5,5:8
CBP,166,25.91409,-112.08062,1:1,1:3,1:1,2:2,2:2,7:8,5:5,6:6
CBP,166,25.91409,-112.08062,1:1,1:3,1:1,2:2,1:1,8:8,5:5,5:5
CBP,166,25.91409,-112.08062,2:2,2:2,2:2,1:1,2:2,4:4,3:3,18:18
CBP,166,25.91409,-112.08062,1:2,3:3,1:1,2:2,2:2,7:8,5:5,5:8
CBP,166,25.91409,-112.08062,1:2,3:3,1:1,2:2,2:2,7:8,5:5,5:7
CBP,166,25.91409,-112.08062,1:1,3:3,1:1,2:2,2:2,5:5,5:5,5:7
CBP,166,25.91409,-112.08062,1:1,3:3,1:1,2:2,1:2,7:7,5:5,5:5
